Trait ID	Trait name	Trait description	Trait synonyms	TO Label	TO:ID
CO_338:0000062	Canopy height	Height of the canopy	Plant canopy height, CH	cooking quality trait	TO:0001069
CO_338:0000063	Growth vigor	Vigor of the plant growth charaterized by the plant height and shoot biomass	GRV	plant vigor trait	TO:0000250
CO_338:0000064	Collar rot resistance	Causative agent: Sclerotium rolfsii. It causes constriction of collar region and rotting. White strands grow over affected tissue. Sclerotia, small round fungal structures that look like mustard seeds, are seen on the dead tissues	COLRR	Ascomycete fungal disease response	TO:0001145
CO_338:0000065	Leaf miner resistance	Causative agent: Liriomyza cicerina. The leaflets are mined, have a reduced photosynthetic capacity and senesce prematurely.	LMR	insect damage response trait	TO:0000261
CO_338:0000066	Leaf type	Type of leaf of the plant e.g., normal/simple/multipinnate	LFT	compound leaf morphology trait	TO:0001121
CO_338:0000068	Dry root rot resistance	Causative agent: Rhizoctonia bataticola. It causes drying up of plants. Roots become brittle and minute sclerotia are seen on the exposed roots	DRRR	Ascomycete fungal disease response	TO:0001145
CO_338:0000074	Time to pod formation	Time elapsed between sowing and pod formation	DFPD	fruit set trait	TO:0000852
CO_338:0000076	Pod length	Length of pods	PDLTH	fruit length	TO:0002626
CO_338:0000265	Seed yield	Weight of seed per unit of area	SY	seed yield trait	TO:0000905
CO_338:0000266	Time to flowering	Time elpased from sowing to flowering	TimeFlw	days to flowering trait	TO:0000344
CO_338:0000007	Apical primary branches number per plant	Number of apical primary branches per plant	APBR	primary branch number	TO:0000547
CO_338:0000008	Apical secondary branches number per plant	Number of apical secondary branches per plant	ASBR	secondary branch number	TO:0000557
CO_338:0000009	Basal primary branches number per plant	Number of basal primary branches per plant	BPBR	primary branch number	TO:0000547
CO_338:0000010	Basal secondary branches number per plant	Number of basal secondary branches per plant	BSBR	secondary branch number	TO:0000557
CO_338:0000012	Tertiary branches number per plant	Number of tertiary branches per plant	TRBR	tertiary branch number	TO:0006034
CO_338:0000022	Dots on seed coat	Trait indicating the presence or absence of dots on the seed coat.	DOTSD	seed coat pattern	TO:0000904
CO_338:0000032	Shoot sodium	Shoot sodium content from plants/subset of plants.	SHSOD	shoot system sodium content	TO:0020004
CO_338:0000033	Shoot potassium	Shoot potassium content from plants/subset of plants.	SHPOT	shoot system potassium content	TO:0020003
CO_338:0000048	Filled double pod number	Is a count of the number of filled chickpea double pods produced by a double podded line.	FDPN	pod number trait	TO:0001125
CO_338:0000067	High temperature tolerance	Degree of tolerance to high temperature	Heat tolerance, HTT	heat tolerance	TO:0000259
CO_338:0000069	Viral (stunt) resistance	Causative agent: Pea leaf roll virus. It causes stunted growth and discoloured (yellow, orange or brown) foliage	VRLR	viral disease response	TO:0000148
CO_338:0000070	Taste	Taste of seed for consuming	TST	seed quality trait	TO:0000931
CO_338:0000071	Root length	Cumulative root length of a sample	RL	root length	TO:0000227
CO_338:0000072	Salinity tolerance	Degree of tolerance to soil salinity	SALT	salt tolerance	TO:0006001
CO_338:0000073	Rooting depth	Rooting depth of the plant	RDp	rooting depth	TO:0000519
CO_338:0000075	Cyst nematode resistance	Causative agent: Heterodera spp. Syncytia are formed on the roots which become necrotic.	CYSNR	nematode damage response trait	TO:0000384
CO_338:0000078	Leaflet margin	Type of leaflet margin e.g., smooth, serrated	LFLM	leaf margin morphology trait	TO:0002635
CO_338:0000079	Number of leaflets per leaf	Number of leaflets in a fully developed leaf	LFLN	leaflet number	TO:0002636
CO_338:0000080	Plant pubescence	Extent of hairiness of the shoot	Plant hairiness, PLPUB	stem hairiness	TO:0000879
CO_338:0000081	Alternaria blight resistance	Causative agent: Alternaria alternata. It causes water-soaked purple lesions on leaflets which later turn brown to dark brown	ALTBR	Ascomycete fungal disease response	TO:0001145
CO_338:0000082	Root knot nematode resistance	Causative agent: Meloidogyne spp. It causes formation of galls on the root	RTKNR	nematode damage response trait	TO:0000384
CO_338:0000084	Stem dry weight	Stem dry weight of a sample	StemDW	stem dry weight	TO:0003001
CO_338:0000085	Leaf dry weight	Leaf dry weight of a sample	LeafDW	leaf dry weight	TO:0001014
CO_338:0000087	Root dry weight/total plant dry weight	Ratio of root dry weight to that of the whole plant dry weight	RTRatio	root dry weight	TO:0000078
CO_338:0000088	Root length density	The length of roots present in a unit volume of soil	RLD	root length	TO:0000227
CO_338:0000089	Root surface area	Surface of roots	RSA	root morphology trait	TO:0000043
CO_338:0000090	Root volume	Volume of root	RV	root volume	TO:0000233
CO_338:0000091	Carbon isotope discrimination	Ratio of carbon isotope in tissue relative to the air	Delta carbon, CID	carbon isotope discrimination	TO:0002643
CO_338:0000092	Specific leaf area	Leaf area per dry weight of leaves	SLA	specific leaf area	TO:0000562
CO_338:0000093	Leaf chlorophyll content	Chlorophyll content in the leaf	SPAD values, LfChlorCt	leaf chlorophyll content	TO:0012002
CO_338:0000094	Transpiration efficiency	Ratio of shoot biomass produced per unit of transpired water	TE	water use efficiency	TO:0001017
CO_338:0000095	Water use efficiency	Ratio of shoot biomass produced per unit of water lost from the field through both transpiration and evaporation	WUE	water use efficiency	TO:0001017
CO_338:0000096	Drought tolerance	Standard residual after removing the effects of flowering time and yield potential advantages from the drought yields	Drought index, DTI	drought tolerance	TO:0000276
